flyTime,localTime,windSpeed
54.5,5:58:43.36 PM,0.2995168
54.6,5:58:43.46 PM,0.2995168
54.7,5:58:43.56 PM,0.2995168
54.8,5:58:43.67 PM,0.2995168
54.9,5:58:43.77 PM,0.2995168
55.0,5:58:43.87 PM,0.2995168
55.1,5:58:43.98 PM,0.1966976
55.2,5:58:44.08 PM,0.1966976
55.3,5:58:44.18 PM,0.1966976
55.4,5:58:44.29 PM,0.1966976
55.5,5:58:44.39 PM,0.1966976
55.6,5:58:44.49 PM,0.1966976
55.7,5:58:44.60 PM,0.1966976
55.8,5:58:44.70 PM,0.1966976
55.9,5:58:44.81 PM,0.1966976
56.0,5:58:44.91 PM,0.1966976
56.1,5:58:45.01 PM,0.1966976
56.2,5:58:45.12 PM,0.1966976
56.3,5:58:45.22 PM,0.1966976
56.4,5:58:45.32 PM,0.1966976
56.5,5:58:45.43 PM,0.1966976
56.6,5:58:45.53 PM,0.1966976
56.7,5:58:45.63 PM,0.1966976
56.8,5:58:45.73 PM,0.1966976
56.9,5:58:45.83 PM,0.1966976
57.0,5:58:45.90 PM,0.1966976
57.1,5:58:46.03 PM,0.1966976
57.2,5:58:46.10 PM,0.1966976
57.3,5:58:46.20 PM,0.1966976
57.4,5:58:46.30 PM,0.1966976
57.5,5:58:46.40 PM,0.1966976
57.6,5:58:46.50 PM,0.1966976
57.7,5:58:46.60 PM,0.1966976
57.8,5:58:46.70 PM,0.1966976
57.9,5:58:46.80 PM,0.1966976
58.0,5:58:46.90 PM,0.1966976
58.1,5:58:46.96 PM,0.1966976
58.2,5:58:47.07 PM,0.1966976
58.3,5:58:47.17 PM,0.1966976
58.4,5:58:47.27 PM,0.1966976
58.5,5:58:47.37 PM,0.1966976
58.6,5:58:47.47 PM,0.1966976
58.7,5:58:47.58 PM,0.1966976
58.8,5:58:47.68 PM,0.1966976
58.9,5:58:47.78 PM,0.1966976
59.0,5:58:47.89 PM,0.1966976
59.1,5:58:47.99 PM,0.1966976
59.2,5:58:48.09 PM,0.1966976
59.3,5:58:48.19 PM,0.1966976
59.4,5:58:48.30 PM,0.1966976
59.5,5:58:48.40 PM,0.1966976
59.6,5:58:48.50 PM,0.1966976
59.7,5:58:48.61 PM,0.1966976
59.8,5:58:48.71 PM,0.2995168
59.9,5:58:48.81 PM,0.2995168
60.0,5:58:48.91 PM,0.2995168
60.1,5:58:49.02 PM,0.2995168
60.2,5:58:49.12 PM,0.2995168
60.3,5:58:49.22 PM,0.2995168
60.4,5:58:49.33 PM,0.2995168
60.5,5:58:49.40 PM,0.2995168
60.6,5:58:49.53 PM,0.2995168
60.7,5:58:49.60 PM,0.2995168
60.8,5:58:49.70 PM,0.2995168
60.9,5:58:49.80 PM,0.2995168
61.0,5:58:49.90 PM,0.2995168
61.1,5:58:50.00 PM,0.2995168
61.2,5:58:50.10 PM,0.2995168
61.3,5:58:50.20 PM,0.2995168
61.4,5:58:50.30 PM,0.2995168
61.5,5:58:50.36 PM,0.2995168
61.6,5:58:50.47 PM,0.2995168
61.7,5:58:50.57 PM,0.2995168
61.8,5:58:50.67 PM,0.2995168
61.9,5:58:50.78 PM,0.2995168
62.0,5:58:50.88 PM,0.2995168
62.1,5:58:50.99 PM,0.2995168
62.2,5:58:51.09 PM,0.2995168
62.3,5:58:51.19 PM,0.2995168
62.4,5:58:51.29 PM,0.2995168
62.5,5:58:51.40 PM,0.2995168
62.6,5:58:51.50 PM,0.3978656
62.7,5:58:51.60 PM,0.3978656
62.8,5:58:51.70 PM,0.3978656
62.9,5:58:51.80 PM,0.3978656
63.0,5:58:51.91 PM,0.3978656
63.1,5:58:52.01 PM,0.3978656
63.2,5:58:52.11 PM,0.3978656
63.3,5:58:52.22 PM,0.3978656
63.4,5:58:52.32 PM,0.3978656
63.5,5:58:52.42 PM,0.3978656
63.6,5:58:52.52 PM,0.3978656
63.7,5:58:52.62 PM,0.3978656
63.8,5:58:52.73 PM,0.3978656
63.9,5:58:52.80 PM,0.3978656
64.0,5:58:52.93 PM,0.3978656
64.1,5:58:53.04 PM,0.3978656
64.2,5:58:53.10 PM,0.3978656
64.3,5:58:53.20 PM,0.3978656
64.4,5:58:53.30 PM,0.3978656
64.5,5:58:53.40 PM,0.3978656
64.6,5:58:53.50 PM,0.3978656
64.7,5:58:53.60 PM,0.3978656
64.8,5:58:53.70 PM,0.3978656
64.9,5:58:53.80 PM,0.3978656
65.0,5:58:53.90 PM,0.3978656
65.1,5:58:53.96 PM,0.3978656
65.2,5:58:54.06 PM,0.3978656
65.3,5:58:54.17 PM,0.3978656
65.4,5:58:54.27 PM,0.3978656
65.5,5:58:54.37 PM,0.3978656
65.6,5:58:54.47 PM,0.3978656
65.7,5:58:54.58 PM,0.3978656
65.8,5:58:54.68 PM,0.3978656
65.9,5:58:54.78 PM,0.2995168
66.0,5:58:54.88 PM,0.2995168
66.1,5:58:54.99 PM,0.2995168
66.2,5:58:55.09 PM,0.2995168
66.3,5:58:55.19 PM,0.2995168
66.4,5:58:55.30 PM,0.2995168
66.5,5:58:55.40 PM,0.2995168
66.6,5:58:55.50 PM,0.2995168
66.7,5:58:55.61 PM,0.2995168
66.8,5:58:55.71 PM,0.2995168
66.9,5:58:55.81 PM,0.2995168
67.0,5:58:55.91 PM,0.2995168
67.1,5:58:56.01 PM,0.2995168
67.2,5:58:56.12 PM,0.2995168
